,date,value,Year
0,2003-01-02,30.05,2003
1,2003-01-03,30.83,2003
2,2003-01-04,29.94666666666667,2003
3,2003-01-05,29.928571428571427,2003
4,2003-01-06,30.71,2003
5,2003-01-07,29.72,2003
6,2003-01-08,28.86,2003
7,2003-01-09,29.51,2003
8,2003-01-10,29.82,2003
9,2003-01-11,30.02,2003
10,2003-01-12,30.054444444444446,2003
11,2003-01-13,29.82,2003
12,2003-01-14,30.21,2003
13,2003-01-15,30.66,2003
14,2003-01-16,30.87,2003
15,2003-01-17,31.02,2003
16,2003-01-18,30.64,2003
17,2003-01-19,30.72222222222222,2003
18,2003-01-20,31.21,2003
19,2003-01-21,30.9,2003
20,2003-01-22,30.89,2003
21,2003-01-23,30.18,2003
22,2003-01-24,30.56,2003
23,2003-01-25,30.512222222222224,2003
24,2003-01-26,30.456666666666667,2003
25,2003-01-27,30.16,2003
26,2003-01-28,29.83,2003
27,2003-01-29,30.3,2003
28,2003-01-30,30.58,2003
29,2003-01-31,30.71,2003
30,2003-02-01,30.348888888888887,2003
31,2003-02-02,30.470000000000002,2003
32,2003-02-03,30.29,2003
33,2003-02-04,29.98,2003
34,2003-02-05,30.52,2003
35,2003-02-06,30.77,2003
36,2003-02-07,31.25,2003
37,2003-02-08,30.97222222222222,2003
38,2003-02-09,31.19888888888889,2003
39,2003-02-10,31.38,2003
40,2003-02-11,31.35,2003
41,2003-02-12,31.3,2003
42,2003-02-13,31.91,2003
43,2003-02-14,32.33,2003
44,2003-02-15,31.716666666666665,2003
45,2003-02-16,31.767777777777773,2003
46,2003-02-17,31.9,2003
47,2003-02-18,31.85,2003
48,2003-02-19,31.95,2003
49,2003-02-20,31.48,2003
50,2003-02-21,31.84,2003
51,2003-02-22,32.128888888888895,2003
52,2003-02-23,32.21,2003
53,2003-02-24,32.44,2003
54,2003-02-25,32.73,2003
55,2003-02-26,32.49,2003
56,2003-02-27,32.48,2003
57,2003-02-28,32.63,2003
58,2003-03-01,32.367777777777775,2003
59,2003-03-02,32.406666666666666,2003
60,2003-03-03,31.63,2003
61,2003-03-04,32.12,2003
62,2003-03-05,32.29,2003
63,2003-03-06,32.5,2003
64,2003-03-07,32.79,2003
65,2003-03-08,32.46,2003
66,2003-03-09,32.38777777777778,2003
67,2003-03-10,33.11,2003
68,2003-03-11,32.54,2003
69,2003-03-12,32.74,2003
70,2003-03-13,32.42,2003
71,2003-03-14,30.98,2003
72,2003-03-15,30.323333333333338,2003
73,2003-03-16,29.401111111111113,2003
74,2003-03-17,29.8,2003
75,2003-03-18,27.69,2003
76,2003-03-19,27.12,2003
77,2003-03-20,26.51,2003
78,2003-03-21,24.81,2003
79,2003-03-22,26.741111111111113,2003
80,2003-03-23,26.455555555555556,2003
81,2003-03-24,25.7,2003
82,2003-03-25,26.84,2003
83,2003-03-26,25.54,2003
84,2003-03-27,26.66,2003
85,2003-03-28,27.23,2003
86,2003-03-29,26.416666666666668,2003
87,2003-03-30,26.38111111111111,2003
88,2003-03-31,27.22,2003
89,2003-04-01,26.8,2003
90,2003-04-02,25.76,2003
91,2003-04-03,26.0,2003
92,2003-04-04,25.38,2003
93,2003-04-05,25.82111111111111,2003
94,2003-04-06,25.57,2003
95,2003-04-07,24.91,2003
96,2003-04-08,25.33,2003
97,2003-04-09,25.59,2003
98,2003-04-10,25.4,2003
99,2003-04-11,24.96,2003
100,2003-04-12,25.45111111111111,2003
101,2003-04-13,25.518749999999997,2003
102,2003-04-14,25.35,2003
103,2003-04-15,25.56,2003
104,2003-04-16,25.71,2003
105,2003-04-17,26.25,2003
106,2003-04-18,25.84142857142857,2003
107,2003-04-19,25.607499999999998,2003
108,2003-04-20,25.48875,2003
109,2003-04-21,26.64,2003
110,2003-04-22,26.24,2003
111,2003-04-23,25.14,2003
112,2003-04-24,23.97,2003
113,2003-04-25,24.4,2003
114,2003-04-26,24.54111111111111,2003
115,2003-04-27,24.23,2003
116,2003-04-28,23.64,2003
117,2003-04-29,23.27,2003
118,2003-04-30,23.72,2003
119,2003-05-01,23.85,2003
120,2003-05-02,23.84,2003
121,2003-05-03,23.84,2003
122,2003-05-04,24.006666666666668,2003
123,2003-05-05,23.99,2003
124,2003-05-06,23.92,2003
125,2003-05-07,23.89,2003
126,2003-05-08,24.44,2003
127,2003-05-09,25.14,2003
128,2003-05-10,24.93888888888889,2003
129,2003-05-11,25.188888888888886,2003
130,2003-05-12,25.32,2003
131,2003-05-13,25.41,2003
132,2003-05-14,26.13,2003
133,2003-05-15,26.21,2003
134,2003-05-16,26.24,2003
135,2003-05-17,26.12333333333333,2003
136,2003-05-18,26.293333333333333,2003
137,2003-05-19,26.53,2003
138,2003-05-20,26.1,2003
139,2003-05-21,26.64,2003
140,2003-05-22,26.53,2003
141,2003-05-23,26.85,2003
142,2003-05-24,26.528888888888886,2003
143,2003-05-25,26.548888888888893,2003
144,2003-05-26,26.87,2003
145,2003-05-27,26.48,2003
146,2003-05-28,26.49,2003
147,2003-05-29,26.27,2003
148,2003-05-30,26.71,2003
149,2003-05-31,26.72222222222222,2003
150,2003-06-01,26.77,2003
151,2003-06-02,27.1,2003
152,2003-06-03,27.09,2003
153,2003-06-04,26.72,2003
